79,Пятница 17.05.2024,18:00-19:30,Иностранный язык ЗАЧЕТ (Дос524) (Нем./Англ.),История России (Гл252),Ветеринарная генетика (Гл306),Иностранный язык ЗАЧЕТ (Дос518),2024-05-17,17052024
80,Пятница 17.05.2024,19:45-21:15,Иностранный язык ЗАЧЕТ (Дос524) (Нем./Англ.),История России (Гл252),Ветеринарная генетика (Гл306),Иностранный язык ЗАЧЕТ (Дос518),2024-05-17,17052024
94,Понедельник 03.06.2024,19:45-21:15,"Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)","Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)","Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)","Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)",2024-06-03,03062024
95,Среда 05.06.2024,18:00-19:30,История России (Гл252),Философия (Гл247),"Органическая, физическая и коллоидная химия (Гл402)",Ветеринарная генетика (Гл306),2024-06-05,05062024
96,Среда 05.06.2024,19:45-21:15,История России (Гл252),Философия (Гл247),"Органическая, физическая и коллоидная химия (Гл402)",Ветеринарная генетика (Гл306),2024-06-05,05062024
98,Пятница 07.06.2024,19:45-21:15,Ветеринарная генетика (Гл304),История России (Гл252),Ветеринарная генетика (Гл306),Философия (Гл247),2024-06-07,07062024
99,Понедельник 10.06.2024,18:00-19:30,Ветеринарная генетика (Гл304),История России (Гл252),Философия (Гл247),Ветеринарная генетика (Гл306),2024-06-10,10062024
100,Понедельник 10.06.2024,19:45-21:15,Ветеринарная генетика (Гл304),История России (Гл252),Философия (Гл247),Ветеринарная генетика (Гл306),2024-06-10,10062024
101,Пятница 14.06.2024,18:00-19:30,Ликвидация задолженностей,Ликвидация задолженностей,Ликвидация задолженностей,Ликвидация задолженностей,2024-06-14,14062024
102,Пятница 14.06.2024,19:45-21:15,Ликвидация задолженностей,Ликвидация задолженностей,Ликвидация задолженностей,Ликвидация задолженностей,2024-06-14,14062024
